X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.733259,28.367316,0,0,129,2233.4,2017/07/08 00:44:30+00,,,,,,,,,,,,,,,,,,,,,
83.733212,28.36738,0,0,130,2231.6,2017/07/08 00:44:36+00,,,,,,,,,,,,,,,,,,,,,
83.733199,28.367493,0,0,131,2222.1,2017/07/08 00:44:50+00,,,,,,,,,,,,,,,,,,,,,
83.733142,28.367565,0,0,132,2217.8,2017/07/08 00:45:04+00,,,,,,,,,,,,,,,,,,,,,
83.733101,28.367616,0,0,133,2217.6,2017/07/08 00:45:18+00,,,,,,,,,,,,,,,,,,,,,
83.733089,28.367668,0,0,134,2219.6,2017/07/08 00:45:31+00,,,,,,,,,,,,,,,,,,,,,
83.733071,28.36771,0,0,135,2220.9,2017/07/08 00:45:44+00,,,,,,,,,,,,,,,,,,,,,
83.733018,28.367788,0,0,136,2225.4,2017/07/08 00:45:58+00,,,,,,,,,,,,,,,,,,,,,
83.732995,28.367851,0,0,137,2228.2,2017/07/08 00:46:09+00,,,,,,,,,,,,,,,,,,,,,
83.733023,28.367909,0,0,138,2230,2017/07/08 00:46:23+00,,,,,,,,,,,,,,,,,,,,,
83.732966,28.36798,0,0,139,2232.8,2017/07/08 00:46:38+00,,,,,,,,,,,,,,,,,,,,,
83.732955,28.368101,0,0,140,2231.6,2017/07/08 00:46:54+00,,,,,,,,,,,,,,,,,,,,,
83.732882,28.368224,0,0,141,2232.1,2017/07/08 00:47:06+00,,,,,,,,,,,,,,,,,,,,,
83.732755,28.368255,0,0,142,2235.5,2017/07/08 00:47:20+00,,,,,,,,,,,,,,,,,,,,,
83.732694,28.368294,0,0,143,2234.7,2017/07/08 00:47:29+00,,,,,,,,,,,,,,,,,,,,,
83.732573,28.368357,0,0,144,2233.9,2017/07/08 00:47:42+00,,,,,,,,,,,,,,,,,,,,,
83.732537,28.368391,0,0,145,2233.4,2017/07/08 00:47:54+00,,,,,,,,,,,,,,,,,,,,,
83.732462,28.368425,0,0,146,2233.2,2017/07/08 00:48:06+00,,,,,,,,,,,,,,,,,,,,,
83.732363,28.368447,0,0,147,2234.4,2017/07/08 00:48:18+00,,,,,,,,,,,,,,,,,,,,,
83.732274,28.368469,0,0,148,2237.1,2017/07/08 00:48:30+00,,,,,,,,,,,,,,,,,,,,,
83.732178,28.368489,0,0,149,2240.8,2017/07/08 00:48:45+00,,,,,,,,,,,,,,,,,,,,,
83.732109,28.368495,0,0,150,2243.3,2017/07/08 00:48:58+00,,,,,,,,,,,,,,,,,,,,,
83.732041,28.368484,0,0,151,2245.5,2017/07/08 00:49:13+00,,,,,,,,,,,,,,,,,,,,,
83.732034,28.368473,0,0,152,2246,2017/07/08 00:49:30+00,,,,,,,,,,,,,,,,,,,,,
